0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
,MANPOWER & TOTAL HOURS WORKED SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-05-01 00:00:00,Thur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,division,dept_id,section_id,Line,P10A,,,,,,,P1A,,,,,,,P1B,,,,,,,P1C,,,,,,,P2B,,,,,,,P2R,,,,,,,P3,,,,,,,P5,,,,,,,P6,,,,,,,P7,,,,,,,P8,,,,,,,P9,,,,,,,TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5)
,,,,,TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),TOTAL HC,ATTN HC,NORMAL HRS,OT HRS,TOTAL HRS,OT HRS *1.5,TOTAL HRS (WITH OT HRS*1.5),,,,,,,
,CPBU,ENG,MAINT-BPA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0
,,,MAINT-DREA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,8.58,8.58,12.870000000000001,12.870000000000001,,,,,,,,,,,,,,,1,1,0,8.58,8.58,12.870000000000001,12.870000000000001
,,PRODUCTION,ASSY-BPA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,0,37.730000000000004,37.730000000000004,56.595,56.595,10,5,0,37.730000000000004,37.730000000000004,56.595,56.595
,,,ASSY-DREA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,24,0,181.91999999999993,181.91999999999993,272.8799999999999,272.8799999999999,,,,,,,,,,,,,,,39,24,0,181.91999999999993,181.91999999999993,272.8799999999999,272.8799999999999
,,,ASSY-NANO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,10,0,84.41999999999999,84.41999999999999,126.63,126.63,,,,,,,,,,,,,,,36,10,0,84.41999999999999,84.41999999999999,126.63,126.63
,,,ASSY-WEBER,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,0,52.78,52.78,79.17,79.17,9,7,0,52.78,52.78,79.17,79.17
